A2M	CTSD	9606.ENSP00000323929	9606.ENSP00000236671	0	0	0	0	0.070	0	0	0.397	0.415
A2M	APOA1	9606.ENSP00000323929	9606.ENSP00000236850	0	0	0	0	0.111	0	0.750	0.994	0.998
A2M	LRP1	9606.ENSP00000323929	9606.ENSP00000243077	0	0	0	0	0.132	0.504	0	0.997	0.998
A2M	APOE	9606.ENSP00000323929	9606.ENSP00000252486	0	0	0	0	0.270	0.292	0	0.957	0.975
A2M	SORL1	9606.ENSP00000323929	9606.ENSP00000260197	0	0	0	0	0	0.066	0	0.574	0.585
A2M	ADAM10	9606.ENSP00000323929	9606.ENSP00000260408	0	0	0	0	0	0	0	0.498	0.497
A2M	ABCA7	9606.ENSP00000323929	9606.ENSP00000263094	0	0	0	0	0	0.095	0	0.459	0.489
A2M	APP	9606.ENSP00000323929	9606.ENSP00000284981	0	0	0	0	0.104	0.292	0	0.863	0.905
A2M	LRP8	9606.ENSP00000323929	9606.ENSP00000303634	0	0.007	0	0	0.055	0.071	0	0.601	0.619
A2M	CLU	9606.ENSP00000323929	9606.ENSP00000315130	0	0	0	0	0.098	0	0	0.890	0.896
A2M	BACE1	9606.ENSP00000323929	9606.ENSP00000318585	0	0	0	0	0.070	0	0	0.566	0.579
A2M	AIF1	9606.ENSP00000323929	9606.ENSP00000365227	0	0	0	0	0.072	0	0	0.403	0.423
A2M	APLP2	9606.ENSP00000323929	9606.ENSP00000497691	0	0	0	0	0.083	0	0	0.403	0.429
A2M	MAPT	9606.ENSP00000323929	9606.ENSP00000340820	0	0	0	0	0	0.292	0	0.269	0.460
A2M	AGER	9606.ENSP00000323929	9606.ENSP00000364210	0	0	0	0	0.063	0	0	0.482	0.493
A2M	PSEN1	9606.ENSP00000323929	9606.ENSP00000326366	0	0	0	0	0	0	0	0.553	0.553
A2M	APBB1	9606.ENSP00000323929	9606.ENSP00000477213	0	0	0	0	0.071	0.292	0	0.536	0.668
A2M	NGF	9606.ENSP00000323929	9606.ENSP00000358525	0	0	0	0	0	0.292	0	0.620	0.719
A2M	PSEN2	9606.ENSP00000323929	9606.ENSP00000355747	0	0	0	0	0	0	0	0.725	0.725
